Fecha recibo|Nro de recibo|Importe|Razón Social|CUIT|Fecha Factura|Nro de factura|Monto de factura|Medio de pago|Nro del MP|Fecha pago|Importe del MP|Id Subasta  
||448577.25|||A0002-00000224|19-09-2023|448577.25|DEPOSITOS|123-009694/0 |2023-11-13|448577.25|73  
||1258400.00|||A0002-00000683|13-11-2023|1258400.00|DEPOSITOS|123-009694/0|2023-11-24|1258400.00|171  
||2021305.00|||A0002-00000681|13-11-2023|2021305.00|DEPOSITOS|123-009694/0|2023-11-24|2021305.00|146  
||361790.00|||A0002-00000127|11-09-2023|361790.00|DEPOSITOS|123-007383/3|2023-11-28|361790.00|24  
||4361894.00|||A0002-00000793|29-11-2023|4361894.00|DEPOSITOS|123-007383/3|2023-11-29|4361894.00|66  
||1840410.00|||A0002-00000554|23-10-2023|817960.00|SUBASTA|130|2023-10-05|1840410.00|172  
||33033.00|||A0002-00000534|20-10-2023|33033.00|DEPOSITOS|123-009694/0|2023-11-01|33033.00|158  
||314479.00|||A0002-00000588|01-11-2023|314479.00|DEPOSITOS|123-007383/3|2023-11-01|314479.00|148  
||218768.00|||A0002-00000589|01-11-2023|218768.00|DEPOSITOS|123-007383/3|2023-11-01|218768.00|148  
||408980.00|||A0002-00000716|15-11-2023|408980.00|DEPOSITOS|123-009694/0|2023-11-16|358959.29|196  
||408980.00|||A0002-00000716|15-11-2023|408980.00|Retenciones SICORE - Impto. a las Ganancias|2823|2023-11-16|6136.05|196  
||408980.00|||A0002-00000716|15-11-2023|408980.00|Retenciones II.BB. Buenos Aires|4944|2023-11-16|6136.05|196  
||408980.00|||A0002-00000716|15-11-2023|408980.00|Crédito por diferencia|X0001-00000053|2023-11-21|37748.61|196  
||48763.00|||A0002-00000695|15-11-2023|48763.00|DEPOSITOS|123-009694/0|2023-11-22|48763.00|181  
||39325.00|||A0002-00000753|21-11-2023|39325.00|DEPOSITOS|123-009694/0|2023-11-23|39325.00|185  
||519090.00|||A0002-00000584|01-11-2023|519090.00|DEPOSITOS|123-009694/0|2023-11-09|519090.00|182  
||1321320.00|||A0002-00000640|07-11-2023|1321320.00|DEPOSITOS|123-009694/0|2023-11-09|1313676.00|171  
||1321320.00|||A0002-00000640|07-11-2023|1321320.00|DEPOSITOS|123-009694/0|2023-11-13|7644.00|171  
||813543.50|||A0002-00000689|14-11-2023|649467.50|DEPOSITOS|123-009694/0|2023-11-16|795544.00|173  
||813543.50|||A0002-00000689|14-11-2023|649467.50|DEPOSITOS|123-009694/0|2023-11-17|18000.00|173  
||2019680.00|||A0002-00000618|06-11-2023|2019680.00|DEPOSITOS|123-009694/0|2023-10-05|750000.00|83  
||2019680.00|||A0002-00000618|06-11-2023|2019680.00|DEPOSITOS|123-009694/0|2023-11-06|769680.00|83  
||2019680.00|||A0002-00000618|06-11-2023|2019680.00|DEPOSITOS|123-009694/0|2023-08-24|500000.00|83  
||31460.00|||A0002-00000697|15-11-2023|31460.00|DEPOSITOS|123-009694/0|2023-11-22|31460.00|181  
||314600.00|||A0002-00000599|02-11-2023|314600.00|DEPOSITOS|123-009694/0|2023-11-07|314600.00|180  
||173030.00|||A0002-00000653|08-11-2023|173030.00|DEPOSITOS|123-009694/0|2023-11-13|173030.00|175  
||493960.90|||A0002-00000700|15-11-2023|493960.90|DEPOSITOS|123-009694/0|2023-11-21|493960.90|165  
||1061775.00|||A0002-00000785|27-11-2023|1061775.00|DEPOSITOS|123-009694/0|2023-11-27|1061775.00|212  
||1380307.50|||A0002-00000786|27-11-2023|1380307.50|DEPOSITOS|123-009694/0|2023-11-27|1380307.50|212  
||148225.00|||A0002-00000598|02-11-2023|148225.00|DEPOSITOS|123-009694/0|2023-11-16|5720.00|65  
||148225.00|||A0002-00000598|02-11-2023|148225.00|DEPOSITOS|123-009694/0|2023-11-16|20000.00|65  
||148225.00|||A0002-00000598|02-11-2023|148225.00|DEPOSITOS|123-009694/0|2023-11-02|40000.00|65  
||148225.00|||A0002-00000598|02-11-2023|148225.00|DEPOSITOS|123-009694/0|2023-11-02|40000.00|65  
||148225.00|||A0002-00000598|02-11-2023|148225.00|DEPOSITOS|123-009694/0|2023-11-02|5000.00|65  
||148225.00|||A0002-00000598|02-11-2023|148225.00|DEPOSITOS|123-009694/0|2023-11-02|37500.00|65  
||148225.00|||A0002-00000598|02-11-2023|148225.00|EFECTIVO||2023-11-24|5.00|65  
||461803.60|||A0002-00000509|18-10-2023|10473.60|SUBASTA|65|2023-08-30|461803.60|65  
||103455.00|||A0002-00000691|14-11-2023|103455.00|DEPOSITOS|123-009694/0|2023-11-14|103455.00|181  
